id,itemText,optionA,optionB,optionC,optionD,correctAnswer,item
2010002,Using Cohen's rules of thumb a correlation of 0.32 is?,small,medium,large,very large,2,29
2010006,"In psychology, Generalisability Theory pertains to:",reliability,validity,generalising research to applied settings,generalising findings across studies,1,30
1042,"Simon and Chase have suggested that in order to achieve eminent performance in many fields of expertise, such as chess you need a minimum of how many years of focused practice?",8,9,10,12,3,31
2010081,A learning curve model predicted task completion times similar to the times that were empirically observed. The previous sentence describes what desirable property of a learning function?,parsimony,statistical fit,theoretically meaningful parameters,Power Law of Practice,2,32
2010066,"What form of shift work does Landy and Conte (citing Parkes, 1999) suggest is the most stressful?",fixed night shift,fixed evening shift,rotating day to night to evening,rotating evening to night to day,3,33
2010070,"In the context of stress management, for what does the `A' in EAP stand?",Adaptation,Activity,Awareness,Assistance,4,34
2010045,Five people pull a rope and performance is total pulling strength. This is an example of what kind of task?,combinatorial,disjunctive,conjunctive,additive,4,35
2010049,Gersick's Punctuated Equilibrium model is based on empirical research published in 1988 using,a small number of project teams,a large number of project teams,a small number of production teams,a large number of production teams,1,36
2010053,"Until future research was done, what was a major alternative interpretation of Ringelmann's rope pulling studies?",coordination difficulties,small sample size,additive nature of rope pulling,low motivation in group tasks,1,37
2010057,"In organisational psychology, the Input--Process--Output model of teams is",influential and rarely criticised,influential and criticised,rarely discussed and rarely criticised,rarely discussed and criticised,2,38
1047,The theory of transfer that states that the degree of transfer depends on the number of similarities between the learning environment and the performance environment is called:,Theory of Paired Components,Theory of Transfer Similarity,Theory of Identical Components,Theory of Identical Elements,4,39
2010084,Social Learning Theory is what kind of theory,behavioural theory,cognitive theory,psychometric theory,critical theory,2,40
